channel_id,channel_name,frame_type,name,go_const,go_file,band,description
0x0000,Control,0x0100,CLIENT_HELLO,FrameClientHello,handshake.go,application,"Control-channel handshake: client hello (cleartext)."
0x0000,Control,0x0101,SERVER_HELLO,FrameServerHello,handshake.go,application,"Control-channel handshake: server hello (cleartext)."
0x0000,Control,0x0102,SERVER_AUTH,FrameServerAuth,handshake.go,application,"Control-channel handshake: server authentication (AEAD-sealed under the s-hs handshake key)."
0x0000,Control,0x0103,CLIENT_AUTH,FrameClientAuth,handshake.go,application,"Control-channel handshake: client authentication (AEAD-sealed under the c-hs handshake key)."
0x0001,Memory,0x0035,MEMORY_EVICT,FrameMemoryEvict,memory.go,companion-extension,"Mark an identified record evicted -- soft-removed from active retrieval, retained so it can be revived."
0x0001,Memory,0x0036,MEMORY_REVIVE,FrameMemoryRevive,memory.go,companion-extension,"Restore a previously evicted record to active retrieval."
0x0001,Memory,0x0100,MEMORY_CREATE_REQ,FrameMemoryCreateReq,memory.go,application,"Write a new persistent-state memory record."
0x0001,Memory,0x0101,MEMORY_CREATE_RESULT,FrameMemoryCreateResult,memory.go,application,"Success reply to a create; echoes the request's correlation token."
0x0001,Memory,0x0102,MEMORY_READ_REQ,FrameMemoryReadReq,memory.go,application,"Return the current state of one identified memory record."
0x0001,Memory,0x0103,MEMORY_READ_RESULT,FrameMemoryReadResult,memory.go,application,"Success reply to a read; carries the identified record."
0x0001,Memory,0x0104,MEMORY_UPDATE_REQ,FrameMemoryUpdateReq,memory.go,application,"Change an existing memory record in place."
0x0001,Memory,0x0105,MEMORY_UPDATE_RESULT,FrameMemoryUpdateResult,memory.go,application,"Success reply to an update."
0x0001,Memory,0x0106,MEMORY_DELETE_REQ,FrameMemoryDeleteReq,memory.go,application,"Remove a memory record, ending its persistence."
0x0001,Memory,0x0107,MEMORY_DELETE_RESULT,FrameMemoryDeleteResult,memory.go,application,"Success reply to a delete."
0x0001,Memory,0x0108,MEMORY_RETRIEVE_REQ,FrameMemoryRetrieveReq,memory.go,application,"List/retrieve a ranked, provenance-bearing set of memory records."
0x0001,Memory,0x0109,MEMORY_RETRIEVE_RESULT,FrameMemoryRetrieveResult,memory.go,application,"A bounded ranked result set delivered in a single frame."
0x0001,Memory,0x010A,MEMORY_RETRIEVE_STREAM_DATA,FrameMemoryRetrieveStreamData,memory.go,application,"One page of a large ranked result set; final is not set."
0x0001,Memory,0x010B,MEMORY_RETRIEVE_STREAM_END,FrameMemoryRetrieveStreamEnd,memory.go,application,"Terminates a streamed retrieval; final is set."
0x0001,Memory,0x010C,MEMORY_STATUS_REQ,FrameMemoryStatusReq,memory.go,application,"Query store health and advertised capabilities."
0x0001,Memory,0x010D,MEMORY_STATUS_RESULT,FrameMemoryStatusResult,memory.go,application,"Store health and capability reply."
0x0001,Memory,0x010E,MEMORY_ERROR,FrameMemoryError,memory.go,application,"Structured failure for any request; echoes the correlation token and carries a Memory error code."
0x0002,Capability,0x0060,CAP_TOKEN_PRESENT,FrameCapTokenPresent,capability.go,companion-extension,"A holder presents a capability_token (with its delegation chain) to the peer, out of band from a specific operation."
0x0002,Capability,0x0061,CAP_TOKEN_ACCEPT,FrameCapTokenAccept,capability.go,companion-extension,"Success reply to CAP_TOKEN_PRESENT; records the token as presented and echoes the correlation token."
0x0002,Capability,0x0062,CAP_TOKEN_CHALLENGE,FrameCapTokenChallenge,capability.go,companion-extension,"A verifier challenges the holder to prove current possession of a token by signing a fresh nonce."
0x0002,Capability,0x0063,CAP_TOKEN_PROOF,FrameCapTokenProof,capability.go,companion-extension,"Success reply to CAP_TOKEN_CHALLENGE; carries the holder's proof over the challenge nonce."
0x0002,Capability,0x0100,CAP_ISSUE_REQ,FrameCapIssueReq,capability.go,application,"Grant a new authority -- a capability held by the issuer -- to a peer."
0x0002,Capability,0x0101,CAP_ISSUE_RESULT,FrameCapIssueResult,capability.go,application,"Success reply to an issuance; carries the issued capability_token and echoes the request's correlation token."
0x0002,Capability,0x0102,CAP_DELEGATE_REQ,FrameCapDelegateReq,capability.go,application,"Convey a held capability onward to another peer, optionally attenuated."
0x0002,Capability,0x0103,CAP_DELEGATE_RESULT,FrameCapDelegateResult,capability.go,application,"Success reply to a delegation; carries the delegated child capability_token."
0x0002,Capability,0x0104,CAP_REVOKE_REQ,FrameCapRevokeReq,capability.go,application,"Withdraw a previously issued or delegated capability, ending the authority it conveyed."
0x0002,Capability,0x0105,CAP_REVOKE_RESULT,FrameCapRevokeResult,capability.go,application,"Success reply to a revocation."
0x0002,Capability,0x0106,CAP_LOOKUP_REQ,FrameCapLookupReq,capability.go,application,"Resolve or query a capability -- its existence, current status, or the set a subject holds."
0x0002,Capability,0x0107,CAP_LOOKUP_RESULT,FrameCapLookupResult,capability.go,application,"A bounded, paginated result set delivered in a single frame."
0x0002,Capability,0x0108,CAP_ERROR,FrameCapError,capability.go,application,"Structured failure for any request; echoes the correlation token and carries a Capability error code."
0x0005,Immune,0x00C0,IMMUNE_GOSSIP_ADVERTISE,FrameImmuneGossipAdvertise,immune.go,companion-extension,"Propagate a set of defensive-gossip item descriptors (each an item_id + version), advertising them by digest (pull-mode) or pushing their full bodies inline."
0x0005,Immune,0x00C1,IMMUNE_GOSSIP_ACK,FrameImmuneGossipAck,immune.go,companion-extension,"Reply to an ADVERTISE or a RETRACT; echoes the correlation token and reports which advertised items are already held (suppressed) and which are still wanted pulled in full."
0x0005,Immune,0x00C2,IMMUNE_GOSSIP_PULL_REQ,FrameImmuneGossipPullReq,immune.go,companion-extension,"Request the full body of one or more advertised items the receiver lacks or holds at a staler version."
0x0005,Immune,0x00C3,IMMUNE_GOSSIP_PULL_RESULT,FrameImmuneGossipPullResult,immune.go,companion-extension,"Deliver the requested full gossip-item bodies; echoes the PULL_REQ's correlation token."
0x0005,Immune,0x00C4,IMMUNE_GOSSIP_RETRACT,FrameImmuneGossipRetract,immune.go,companion-extension,"Withdraw a previously propagated item (for example a false positive), suppressing its further propagation from a stated version onward."
0x0005,Immune,0x0100,IMMUNE_REPORT_REQ,FrameImmuneReportReq,immune.go,application,"Report a detected operational or security irregularity (anomaly) to the peer."
0x0005,Immune,0x0101,IMMUNE_REPORT_RESULT,FrameImmuneReportResult,immune.go,application,"Success reply to a report; carries the receiver's disposition and echoes the request's correlation token."
0x0005,Immune,0x0102,IMMUNE_ERROR,FrameImmuneError,immune.go,application,"Structured failure for any Immune request; echoes the correlation token and carries an Immune error code."
0x0007,Settlement,0x00A0,SETTLE_BATCH_COMMIT_REQ,FrameSettleBatchCommitReq,settlement.go,companion-extension,"Commit to a batch of settlements by a single opaque commitment value."
0x0007,Settlement,0x00A1,SETTLE_BATCH_COMMIT_RESULT,FrameSettleBatchCommitResult,settlement.go,companion-extension,"Success reply to a batch commitment; echoes the correlation token."
0x0007,Settlement,0x0100,SETTLE_INTENT_REQ,FrameSettleIntentReq,settlement.go,application,"Record that a bilateral, agent-to-agent obligation between the two peers is settled."
0x0007,Settlement,0x0101,SETTLE_INTENT_RESULT,FrameSettleIntentResult,settlement.go,application,"Success reply to a settlement intent; echoes the request's correlation token."
0x0007,Settlement,0x0102,RECEIPT_REQ,FrameReceiptReq,settlement.go,application,"Return the receipt that evidences an identified settlement."
0x0007,Settlement,0x0103,RECEIPT_RESULT,FrameReceiptResult,settlement.go,application,"Success reply to a receipt request; carries the settlement receipt."
0x0007,Settlement,0x0104,SETTLE_ERROR,FrameSettleError,settlement.go,application,"Structured failure for any request; echoes the correlation token and carries a Settlement error code."
0x000A,Telemetry,0x0100,TELEMETRY_REPORT,FrameTelemetryReport,telemetry.go,application,"A batch of operational metric samples, discrete events, and/or health statements pushed one-way -- standalone, or under a subscription where it consumes credit."
0x000A,Telemetry,0x0101,TELEMETRY_SUBSCRIBE,FrameTelemetrySubscribe,telemetry.go,application,"Request a continuing stream of REPORT batches matching a selector, carrying an initial credit grant."
0x000A,Telemetry,0x0102,TELEMETRY_SUB_ACK,FrameTelemetrySubAck,telemetry.go,application,"Accepts a subscription; echoes corr; returns the granted terms (subscription id, effective credit, accepted reporting classes)."
0x000A,Telemetry,0x0103,TELEMETRY_UNSUBSCRIBE,FrameTelemetryUnsubscribe,telemetry.go,application,"Cancels a subscription; echoes corr; no reply (idempotent)."
0x000A,Telemetry,0x0104,TELEMETRY_CREDIT,FrameTelemetryCredit,telemetry.go,application,"Consumer replenishes per-subscription report credit (backpressure); echoes corr."
0x000A,Telemetry,0x0105,TELEMETRY_ERROR,FrameTelemetryError,telemetry.go,application,"Structured failure of a subscribe or credit request; echoes the corr of the request it answers."
0x000C,Stream,0x0100,STREAM_OPEN,FrameStreamOpen,stream.go,application,"Opens a sub-stream; carries its sub_stream_id, the opener's initial receive window, and a content-type hint."
0x000C,Stream,0x0101,STREAM_DATA,FrameStreamData,stream.go,application,"Carries one chunk of sub-stream octets at an explicit absolute byte offset; MAY set fin to signal end-of-data for this direction."
0x000C,Stream,0x0102,STREAM_CLOSE,FrameStreamClose,stream.go,application,"Graceful half-close of one direction of a sub-stream, stating that direction's final octet count."
0x000C,Stream,0x0103,STREAM_RESET,FrameStreamReset,stream.go,application,"Abrupt teardown of BOTH directions of a sub-stream, carrying a reset error code."
0x000C,Stream,0x0104,STREAM_WINDOW_UPDATE,FrameStreamWindowUpdate,stream.go,application,"Grants per-sub-stream flow-control credit as a new absolute cumulative receive offset."
0x000D,Bridge,0x0100,BRIDGE_REQUEST,FrameBridgeRequest,bridge.go,application,"A foreign request that expects a reply."
0x000D,Bridge,0x0101,BRIDGE_RESPONSE,FrameBridgeResponse,bridge.go,application,"A successful reply; correlation echoes the request."
0x000D,Bridge,0x0102,BRIDGE_ERROR,FrameBridgeError,bridge.go,application,"A failed reply; carries the foreign error object."
0x000D,Bridge,0x0103,BRIDGE_NOTIFY,FrameBridgeNotify,bridge.go,application,"A one-way message; no reply is expected or permitted."
0x000D,Bridge,0x0104,BRIDGE_STREAM_DATA,FrameBridgeStreamData,bridge.go,application,"One chunk of a streamed reply; correlation echoes the request."
0x000D,Bridge,0x0105,BRIDGE_STREAM_END,FrameBridgeStreamEnd,bridge.go,application,"Terminates a stream; final is set."
0x000E,Commerce,0x0100,COMMERCE_MANDATE_CREATE_REQ,FrameCommerceMandateCreateReq,commerce.go,application,"Issue a new payment mandate (authorization-to-pay artifact)."
0x000E,Commerce,0x0101,COMMERCE_MANDATE_CREATE_RESULT,FrameCommerceMandateCreateResult,commerce.go,application,"Success reply to a mandate issuance; echoes the request's correlation token."
0x000E,Commerce,0x0102,COMMERCE_MANDATE_READ_REQ,FrameCommerceMandateReadReq,commerce.go,application,"Return the current state of one identified payment mandate."
0x000E,Commerce,0x0103,COMMERCE_MANDATE_READ_RESULT,FrameCommerceMandateReadResult,commerce.go,application,"Success reply to a read; carries the identified mandate."
0x000E,Commerce,0x0104,COMMERCE_MANDATE_REVOKE_REQ,FrameCommerceMandateRevokeReq,commerce.go,application,"Revoke an outstanding payment mandate, ending its authorization."
0x000E,Commerce,0x0105,COMMERCE_MANDATE_REVOKE_RESULT,FrameCommerceMandateRevokeResult,commerce.go,application,"Success reply to a revoke."
0x000E,Commerce,0x0106,COMMERCE_MANDATE_STATUS_REQ,FrameCommerceMandateStatusReq,commerce.go,application,"Query the lifecycle state of one identified mandate."
0x000E,Commerce,0x0107,COMMERCE_MANDATE_STATUS_RESULT,FrameCommerceMandateStatusResult,commerce.go,application,"Mandate lifecycle-state reply."
0x000E,Commerce,0x0108,COMMERCE_INTENT_PROPOSE_REQ,FrameCommerceIntentProposeReq,commerce.go,application,"Propose a multi-party settlement intent (named parties and payment legs)."
0x000E,Commerce,0x0109,COMMERCE_INTENT_PROPOSE_RESULT,FrameCommerceIntentProposeResult,commerce.go,application,"Success reply to a proposal; carries the intent identifier and initial state."
0x000E,Commerce,0x010A,COMMERCE_INTENT_RESPOND_REQ,FrameCommerceIntentRespondReq,commerce.go,application,"Accept, reject, or counter a previously proposed settlement intent."
0x000E,Commerce,0x010B,COMMERCE_INTENT_RESPOND_RESULT,FrameCommerceIntentRespondResult,commerce.go,application,"Success reply to a response; carries the resulting intent state."
0x000E,Commerce,0x010C,COMMERCE_INTENT_STATUS_REQ,FrameCommerceIntentStatusReq,commerce.go,application,"Query the state of one identified settlement intent."
0x000E,Commerce,0x010D,COMMERCE_INTENT_STATUS_RESULT,FrameCommerceIntentStatusResult,commerce.go,application,"Settlement-intent state reply."
0x000E,Commerce,0x010E,COMMERCE_ERROR,FrameCommerceError,commerce.go,application,"Structured failure for any request; echoes the correlation token and carries a Commerce error code."
0x000F,Interaction,0x0100,INTERACT_EVENT,FrameInteractEvent,interaction.go,application,"Convey a user-interface event to the peer: an agent surfacing an event to the human's client, or the human's client returning an interaction event to the agent."
0x000F,Interaction,0x0101,INTERACT_EVENT_ACK,FrameInteractEventAck,interaction.go,application,"Acknowledges an INTERACT_EVENT that requested acknowledgement; echoes the request's correlation token."
0x000F,Interaction,0x0102,INTERACT_PROMPT_REQ,FrameInteractPromptReq,interaction.go,application,"Prompt the human for input and await the human's response."
0x000F,Interaction,0x0103,INTERACT_PROMPT_RESULT,FrameInteractPromptResult,interaction.go,application,"The human's response to a prompt; echoes the correlation token."
0x000F,Interaction,0x0104,INTERACT_APPROVAL_REQ,FrameInteractApprovalReq,interaction.go,application,"Request a human decision to approve or deny a described action."
