protocol_id,name,carriage_class,mapping_reference,assignment_policy,description
0x00,(reserved),--,--,Not assignable,"Reserved (the null identifier). MUST NOT be used as a protocol_id; a receiver MUST reject a BridgeEnvelope whose protocol_id is 0x00 with EnvelopeMalformed (NPAMP-BRIDGE transport error code 1). NPAMP-REG Sections 4 and 9."
0x01,MCP - Model Context Protocol,JSONRPC,NPAMP-MAP-MCP,First Come First Served,"Standards-assigned; named directly by NPAMP-BRIDGE and recorded in NPAMP-REG Section 6; MUST NOT be reassigned."
0x02,A2A - Agent2Agent,JSONRPC (with DOC for the AgentCard),NPAMP-MAP-A2A,First Come First Served,"Standards-assigned; named directly by NPAMP-BRIDGE and recorded in NPAMP-REG Section 6; MUST NOT be reassigned."
0x03,HTTP/2 generic carriage,HTTP,NPAMP-CC-HTTP,First Come First Served,"Standards-assigned; named directly by NPAMP-BRIDGE and recorded in NPAMP-REG Section 6; MUST NOT be reassigned."
0x04,WebSocket generic carriage,STREAM,NPAMP-CC-STREAM,First Come First Served,"Standards-assigned; named directly by NPAMP-BRIDGE and recorded in NPAMP-REG Section 6; MUST NOT be reassigned."
0x05,gRPC generic carriage,STREAM,NPAMP-CC-STREAM,First Come First Served,"Standards-assigned via NPAMP-REG Section 8 registration procedure; recorded in NPAMP-REG Section 6; the next available code point after 0x01-0x04, mirroring the 0x04 WebSocket row's own generic-carriage pattern; MUST NOT be reassigned."
0x06,NLIP - Natural Language Interaction Protocol,HTTP; STREAM,NPAMP-MAP-NLIP,First Come First Served,"Standards-assigned via NPAMP-REG Section 8; recorded in NPAMP-REG Section 6 (first-wave assignment 0x06-0x0A); MUST NOT be reassigned."
0x07,ANP - Agent Network Protocol,HTTP; OPAQUE,NPAMP-MAP-ANP,First Come First Served,"Standards-assigned via NPAMP-REG Section 8; recorded in NPAMP-REG Section 6 (first-wave assignment 0x06-0x0A); MUST NOT be reassigned."
0x08,AGNTCY - Internet of Agents collective,STREAM; HTTP; DOC,NPAMP-MAP-AGNTCY,First Come First Served,"Standards-assigned via NPAMP-REG Section 8; recorded in NPAMP-REG Section 6 (first-wave assignment 0x06-0x0A); MUST NOT be reassigned."
0x09,AP2 - Agent Payments Protocol,DOC; JSONRPC (via NPAMP-MAP-A2A),NPAMP-MAP-AP2,First Come First Served,"Standards-assigned via NPAMP-REG Section 8; recorded in NPAMP-REG Section 6 (first-wave assignment 0x06-0x0A); MUST NOT be reassigned."
0x0A,x402 - internet-native HTTP payments,HTTP,NPAMP-MAP-X402,First Come First Served,"Standards-assigned via NPAMP-REG Section 8; recorded in NPAMP-REG Section 6 (first-wave assignment 0x06-0x0A); MUST NOT be reassigned."
0x0B-0x0F,(unassigned),--,--,First Come First Served,"Unassigned standards range; available under the First Come First Served policy of RFC 8126 via the registration procedure of NPAMP-REG Section 8."
0x10-0x7F,(experimental),--,--,No registration,"Experimental range; usable without registration; carries no guaranteed cross-domain meaning; a sender MUST NOT use it without out-of-band agreement with the peer. NPAMP-REG Section 7.1."
0x80-0xFF,(private use),--,--,No registration,"Private-use range; usable within a single administrative domain without registration; never assigned by this registry; MUST NOT be emitted toward a peer outside that domain. NPAMP-REG Section 7.2."
